AoA,Mach,Velocity,CXu,CYv,CZw,Clp,Cmq,Cnr
8,0.324489795918367,110.326530612245,-0.000389558823529408,0,-0.000825338235294158,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.348979591836735,118.65306122449,-0.000389558823529407,0,-0.000825338235294154,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.373469387755102,126.979591836735,-0.000389558823529422,0,-0.000825338235293962,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.397959183673469,135.30612244898,-0.000389558823529399,0,-0.000825338235294216,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.422448979591837,143.632653061224,-0.000389558823529413,0,-0.000825338235294121,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.446938775510204,151.959183673469,-0.000389558823529412,0,-0.000825338235294046,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.471428571428571,160.285714285714,-0.000389558823529415,0,-0.000825338235294108,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.495918367346939,168.612244897959,-0.000366687424352455,0,-0.000570584573953055,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.520408163265306,176.938775510204,-0.000131058823529416,0,-0.00205397058823527,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.544897959183673,185.265306122449,-0.000131058823529419,0,-0.0020539705882353,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.569387755102041,193.591836734694,-0.000131058823529418,0,-0.0020539705882352,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.593877551020408,201.918367346939,-0.000131058823529414,0,-0.00205397058823529,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.618367346938775,210.244897959184,-0.00243752941176471,0,-0.0229617941176471,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.642857142857143,218.571428571429,-0.00243752941176471,0,-0.022961794117647,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.66734693877551,226.897959183673,-0.0024375294117647,0,-0.0229617941176471,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.691836734693878,235.224489795918,-0.0024375294117647,0,-0.022961794117647,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.716326530612245,243.551020408163,-0.00193932126696833,0,-0.00394432126696834,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.740816326530612,251.877551020408,-0.00193932126696833,0,-0.00394432126696839,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.76530612244898,260.204081632653,-0.00193932126696833,0,-0.00394432126696835,-0.294189254390748,-1.77094627195374,-2.01935348536577
