4.751462	84.090677	-5.237880	-0.006709	0.000013	-0.325548
4.793677	84.119995	-5.195440	-0.006234	-0.000061	-0.328106
4.836793	84.150014	-5.152096	-0.005754	-0.000136	-0.330675
4.880839	84.180731	-5.107820	-0.005268	-0.000211	-0.333254
4.925120	84.211447	-5.063309	-0.004779	-0.000287	-0.335845
4.968906	84.241461	-5.019300	-0.004292	-0.000362	-0.338447
5.012171	84.270771	-4.975816	-0.003807	-0.000436	-0.341061
5.054892	84.299379	-4.932880	-0.003323	-0.000510	-0.343686
5.097045	84.327285	-4.890518	-0.002841	-0.000583	-0.346322
5.138783	84.354487	-4.848575	-0.002360	-0.000655	-0.348970
5.180262	84.380985	-4.806894	-0.001881	-0.000727	-0.351629
5.221463	84.406778	-4.765494	-0.001404	-0.000799	-0.354300
5.262366	84.431866	-4.724395	-0.000928	-0.000870	-0.356983
5.302952	84.456250	-4.683617	-0.000454	-0.000940	-0.359677
5.343113	84.479931	-4.643266	0.000019	-0.001010	-0.362382
5.382742	84.502909	-4.603453	0.000490	-0.001080	-0.365099
5.421816	84.525186	-4.564199	0.000960	-0.001149	-0.367827
5.460314	84.546760	-4.525525	0.001428	-0.001217	-0.370566
5.498213	84.567633	-4.487453	0.001894	-0.001285	-0.373317
5.535546	84.587804	-4.449951	0.002358	-0.001352	-0.376080
5.572347	84.607272	-4.412985	0.002821	-0.001418	-0.378854
5.608595	84.626039	-4.376576	0.003283	-0.001484	-0.381639
5.644270	84.644104	-4.340743	0.003742	-0.001550	-0.384436
5.679352	84.661468	-4.305506	0.004200	-0.001615	-0.387244
5.713720	84.678131	-4.270989	0.004656	-0.001679	-0.390064
5.747249	84.694095	-4.237314	0.005111	-0.001743	-0.392895
5.779919	84.709360	-4.204503	0.005564	-0.001806	-0.395737
5.811709	84.723927	-4.172577	0.006015	-0.001869	-0.398591
5.842600	84.737795	-4.141554	0.006465	-0.001931	-0.401456
5.872725	84.750964	-4.111300	0.006912	-0.001992	-0.404333
5.902222	84.763431	-4.081679	0.007358	-0.002053	-0.407221
5.931074	84.775198	-4.052705	0.007803	-0.002113	-0.410120
5.959265	84.786265	-4.024396	0.008245	-0.002173	-0.413031
5.986780	84.796631	-3.996767	0.008686	-0.002232	-0.415953
6.013529	84.806298	-3.969906	0.009126	-0.002291	-0.418887
6.039426	84.815266	-3.943902	0.009563	-0.002349	-0.421832
6.064454	84.823537	-3.918771	0.009999	-0.002406	-0.424788
6.088599	84.831109	-3.894526	0.010433	-0.002463	-0.427756
6.111848	84.837983	-3.871181	0.010865	-0.002520	-0.430735
6.134249	84.844171	-3.848689	0.011296	-0.002576	-0.433726
6.155848	84.849685	-3.827001	0.011725	-0.002631	-0.436728
6.176636	84.854524	-3.806128	0.012152	-0.002686	-0.439741
6.196602	84.858691	-3.786081	0.012578	-0.002740	-0.442766
6.215735	84.862183	-3.766869	0.013002	-0.002794	-0.445802
6.234798	84.865688	-3.747728	0.013428	-0.002848	-0.448849
6.254564	84.869891	-3.727882	0.013859	-0.002902	-0.451907
6.275043	84.874791	-3.707321	0.014296	-0.002958	-0.454975
6.296244	84.880389	-3.686034	0.014739	-0.003014	-0.458054
6.318179	84.886685	-3.664010	0.015187	-0.003070	-0.461144
6.340081	84.892980	-3.642020	0.015637	-0.003127	-0.464245
6.361167	84.898578	-3.620849	0.016085	-0.003183	-0.467358
6.381425	84.903478	-3.600510	0.016531	-0.003239	-0.470481
6.400846	84.907680	-3.581011	0.016976	-0.003294	-0.473616
6.419418	84.911186	-3.562365	0.017418	-0.003348	-0.476762
6.437669	84.914454	-3.544041	0.017862	-0.003403	-0.479920
6.456132	84.917948	-3.525504	0.018308	-0.003457	-0.483089
6.474810	84.921665	-3.506752	0.018758	-0.003512	-0.486269
6.493706	84.925607	-3.487780	0.019210	-0.003568	-0.489460
6.512824	84.929774	-3.468587	0.019666	-0.003623	-0.492662
6.531603	84.933704	-3.449733	0.020122	-0.003679	-0.495876
6.549476	84.936938	-3.431789	0.020576	-0.003734	-0.499101
6.566435	84.939476	-3.414763	0.021029	-0.003788	-0.502337
6.582471	84.941318	-3.398664	0.021480	-0.003842	-0.505585
6.597577	84.942465	-3.383498	0.021929	-0.003895	-0.508844
6.612601	84.943611	-3.368415	0.022380	-0.003948	-0.512114
6.628401	84.945454	-3.352552	0.022836	-0.004002	-0.515394
6.644986	84.947992	-3.335902	0.023298	-0.004057	-0.518686
6.662362	84.951225	-3.318458	0.023765	-0.004112	-0.521987
6.680538	84.955154	-3.300210	0.024238	-0.004168	-0.525300
6.698671	84.959082	-3.282005	0.024713	-0.004224	-0.528624
6.715905	84.962315	-3.264704	0.025185	-0.004280	-0.531958
6.732230	84.964853	-3.248315	0.025656	-0.004335	-0.535305
6.747639	84.966695	-3.232846	0.026125	-0.004389	-0.538662
6.762124	84.967843	-3.218304	0.026593	-0.004443	-0.542031
6.776577	84.968990	-3.203794	0.027062	-0.004497	-0.545411
6.791896	84.970831	-3.188415	0.027537	-0.004552	-0.548801
6.808090	84.973366	-3.172157	0.028017	-0.004607	-0.552202
6.825166	84.976595	-3.155015	0.028502	-0.004664	-0.555614
6.843133	84.980517	-3.136978	0.028993	-0.004720	-0.559036
6.861075	84.984439	-3.118967	0.029486	-0.004777	-0.562469
6.878062	84.987667	-3.101914	0.029977	-0.004834	-0.565914
6.894086	84.990201	-3.085828	0.030466	-0.004889	-0.569370
6.909138	84.992041	-3.070717	0.030953	-0.004945	-0.572837
6.923212	84.993187	-3.056588	0.031439	-0.004999	-0.576315
